fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,365,ELECTRICAL SUPPLIES,363750,363750,374750
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,9438,REIMBURSEMENT - DGS,0,0,1300000
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,340,MATERIAL AND SUPPLIES,1557090,1557090,1557090
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,9440,REIMBURSEMENT - FLEET,1300000,1300000,0
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,2156 - BRIDGES AND PAVEMENT MAINT,140,PROF & TECHNICAL SERVICES,1075000,1075000,1075000
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,2156 - BRIDGES AND PAVEMENT MAINT,157,RENTAL EQUIPMENT AND SERVICES,3041822,3041822,3041822
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,2156 - BRIDGES AND PAVEMENT MAINT,9438,REIMBURSEMENT - DGS,0,0,3300000
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,2156 - BRIDGES AND PAVEMENT MAINT,340,MATERIAL AND SUPPLIES,4630442,4630442,4630442
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,2156 - BRIDGES AND PAVEMENT MAINT,9484,REIMBURSEMENT - CDOT,5000569,5000569,5000312
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,2156 - BRIDGES AND PAVEMENT MAINT,9440,REIMBURSEMENT - FLEET,3300000,3300000,0
LOCAL,310,MOTOR FUEL TAX FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9189,FOR ANNUAL PAYMENT TO CTA,3000000,3000000,3000000
LOCAL,310,MOTOR FUEL TAX FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,912,PAYMENT OF BONDS,5550000,5550000,5850000
LOCAL,310,MOTOR FUEL TAX FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,10067000,10067000,9768000
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,325,325,325
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,130,POSTAGE,519,519,519
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,558,558,558
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,1082,1082,1082
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,1300,1300,1300
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,1574,1574,1574
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,1615,1615,1615
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,2284,2284,2284
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,320,GASOLINE,4226,4226,2828
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,3050,3050,3050
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,3976,3976,3976
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,5000,5000,5000
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,5062,5062,5062
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,6392,6392,6392
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,9484,9484,9856
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,12906,12906,11536
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,18635,18635,15364
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,16082,16082,16082
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,41142,41142,20742
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,34048,34048,34048
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,730550,730550,668076
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-58861,-58861,0
LOCAL,314,SEWER FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,2365,2365,0
LOCAL,314,SEWER FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,197,TELEPHONE-MAINTENANCE,210,210,0
LOCAL,314,SEWER FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,15675,15675,0
LOCAL,314,SEWER FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,190,TELEPHONE-CENTREX,19250,19250,0
LOCAL,314,SEWER FUND,27,FINANCE,2005,2005 - CITY COMPTROLLER,154,RENTAL-DATA HARDWARE EQ,50000,50000,0
LOCAL,314,SEWER FUND,27,FINANCE,2011,2011 - CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,0,0,15675
LOCAL,314,SEWER FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,197,TELEPHONE-MAINTENANCE,0,0,210
LOCAL,314,SEWER FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,190,TELEPHONE-CENTREX,0,0,19250
LOCAL,314,SEWER FUND,27,FINANCE,2015,2015 - FINANCIAL STRATEGY AND OPS,154,RENTAL-DATA HARDWARE EQ,0,0,50000
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,20,OVERTIME,100,100,150
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,229,TRAN/EXP ALLOWANCE,222,222,150
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,162,REPAIR/MAINT EQUIPMENT,194,194,206
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,178,FREIGHT/EXPENSE CHARGES,501,501,231
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,157,RENTAL EQUIPMENT AND SERVICES,1827,1827,462
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,149,SOFTWARE MAINT/LICENSING,574,574,635
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,9438,REIMBURSEMENT - DGS,952,952,952
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,39,STUDENT AS TRAINEES,1064,1064,1105
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,348,BOOKS AND RELATED MTL,740,740,1116
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,130,POSTAGE,1583,1583,1301
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,270,LOCAL TRANSPORTATION,2381,2381,1617
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,169,TECHNICAL MEETING COSTS,1680,1680,1892
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,197,TELEPHONE-MAINTENANCE,1260,1260,1921
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,181,MOBILE COMM SERVICES,896,896,2290
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,245,REIMBURSEMENT TRAVELERS,1322,1322,3084
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,154,RENTAL-DATA HARDWARE EQ,3724,3724,5435
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,350,STATIONERY AND OFFICE SUPPL,7936,7936,5435
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,190,TELEPHONE-CENTREX,5236,5236,6988
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,145,LEGAL EXPENSES,7424,7424,7208
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,138,PROF SERV-IT MAINT,9173,9173,10435
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,166,DUES  SUBSC & MEM,3606,3606,10486
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,143,COURT REPORTING,29214,29214,31842
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,140,PROF & TECHNICAL SERVICES,34878,34878,40386
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,5,SALARIES AND WAGES - ON PAYROLL,477080,477080,477290
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-31953,-31953,0
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,125,OFF AND BUILDING SERV,100,100,0
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,191,TELEPHONE-RELOCATIONS,100,100,0
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,196,DATA CIRCUITS,100,100,0
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,186,PAGERS,119,119,0
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,141,APPRAISALS,160,160,0
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,150,PUBLICATN & REPRODT-OUT,308,308,0
LOCAL,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,2005 - DEPARTMENT OF LAW,15,SCHEDULE SALARY ADJ,672,672,0
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2103,2103 - BUREAU OF FINANCE AND ADMIN,155,RENTAL OF PROPERTY,344977,344977,0
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2121,2121 - ARCH  CONSTRUCTION  ENERGY,140,PROF & TECHNICAL SERVICES,2150,2150,0
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2121,2121 - ARCH  CONSTRUCTION  ENERGY,182,GAS,89798,89798,0
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2121,2121 - ARCH  CONSTRUCTION  ENERGY,184,ELECTRICITY,102089,102089,0
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,0,0,2150
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,0,0,75708
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,0,0,109180
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,320,GASOLINE,0,0,180000
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,0,0,431221
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,0,0,1244908
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,2140 - FLEET OPERATIONS,12,CONTRACT WAGE-PR,0,0,39131
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,2140 - FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,0,0,48000
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,2140 - FLEET OPERATIONS,20,OVERTIME,0,0,50000
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,2140 - FLEET OPERATIONS,140,PROF & TECHNICAL SERVICES,0,0,200000
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,2140 - FLEET OPERATIONS,176,MAINTN & OPERTN-CY VEHL,0,0,250500
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,2140 - FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,0,0,470728
LOCAL,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,2140 - FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,0,0,2370312
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-211819,-211819,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,91,UNIFORM ALLOWANCE,2945,2945,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,20,OVERTIME,50000,50000,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,12,CONTRACT WAGE-PR,50591,50591,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,67230,67230,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,320,GASOLINE,155580,155580,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,140,PROF & TECHNICAL SERVICES,273540,273540,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,176,MAINTN & OPERTN-CY VEHL,282000,282000,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,360,REPAIR PARTS AND MATERIAL,565880,565880,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,1194810,1194810,0
LOCAL,314,SEWER FUND,40,DEPARTMENT OF FLEET MANAGEMENT,2035,2035 - BUREAU OF EQUIPMENT MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,2577685,2577685,0
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,162,REPAIR/MAINT EQUIPMENT,2500,2500,2500
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,12,CONTRACT WAGE-PR,8140,8140,5546
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,159,LEASE PURCHASE AGREEMNT,6000,6000,6000
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,181,MOBILE COMM SERVICES,6000,6000,6000
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,15,SCHEDULE SALARY ADJ,0,0,7272
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,229,TRAN/EXP ALLOWANCE,10500,10500,10500
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,140,PROF & TECHNICAL SERVICES,546000,546000,546000
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,1433724,1433724,1443668
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-84127,-84127,0
LOCAL,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,130,POSTAGE,9000,9000,0
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,270,LOCAL TRANSPORTATION,250,250,250
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,348,BOOKS AND RELATED MTL,1000,1000,1000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,360,REPAIR PARTS AND MATERIAL,1000,1000,1000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,245,REIMBURSEMENT TRAVELERS,1125,1125,1125
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,20,OVERTIME,1500,1500,1500
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,169,TECHNICAL MEETING COSTS,2000,2000,2000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,424,FURNITURE AND FURNISHINGS,2000,2000,2000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,15,SCHEDULE SALARY ADJ,1410,1410,2772
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,162,REPAIR/MAINT EQUIPMENT,3000,3000,3000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,345,APPARATUS AND INSTRUMENTS,3000,3000,3000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,150,PUBLICATN & REPRODT-OUT,6000,6000,3000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,340,MATERIAL AND SUPPLIES,5000,5000,5000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,350,STATIONERY AND OFFICE SUPPL,6000,6000,6000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,12,CONTRACT WAGE-PR,27211,27211,18380
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,229,TRAN/EXP ALLOWANCE,43000,43000,43000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,5,SALARIES AND WAGES - ON PAYROLL,3454933,3454933,3525172
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,2015 - ENGINEERING SERVICES,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-152157,-152157,0
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,130,POSTAGE,10868,10868,10868
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,15,SCHEDULE SALARY ADJ,15436,15436,14766
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,190,TELEPHONE-CENTREX,24000,24000,25400
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,423,COMMUNICATION DEVICES,30000,30000,30000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,154,RENTAL-DATA HARDWARE EQ,43285,43285,43285
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,229,TRAN/EXP ALLOWANCE,61800,61800,61800
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,401,TOOL <= $100 UNIT,69525,69525,69525
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,402,TOOLS > $100 UNIT,128768,128768,128768
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,181,MOBILE COMM SERVICES,18000,18000,226850
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,931,TORT/NON-TORT JUDGMENT,227836,227836,227836
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,440,MACHINERY AND EQUIPMENT,254000,254000,254000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,20,OVERTIME,277000,277000,277000
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,12,CONTRACT WAGE-PR,771219,771219,578424
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,157,RENTAL EQUIPMENT AND SERVICES,914963,914963,914963
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,140,PROF & TECHNICAL SERVICES,6342929,6342929,2005878
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,185,WASTE DISPOSAL SERV,3299920,3299920,3099920
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,340,MATERIAL AND SUPPLIES,5608405,5608405,5210755
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,9438,REIMBURSEMENT - DGS,120000,120000,5483201
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,9481,REIMBURSEMENT - DSS,7362880,7362880,7363180
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,5,SALARIES AND WAGES - ON PAYROLL,41215527,41215527,40743788
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-2715572,-2715572,0
LOCAL,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,2025 - OPERATIONS AND DISTRIBUTION,9440,REIMBURSEMENT - FLEET,5363201,5363201,0
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,5528,5528,5528
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9027,SOCIAL SECURITY TAX,14068,14068,14068
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,934,CLAIMS AGAINST THE CITY,15000,15000,15000
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,70,TUITION REIMBURSEMENT,25000,25000,25000
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,45,PREM TERM LIFE INSURANC,59929,59929,70396
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,196,DATA CIRCUITS,93120,93120,91200
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,121,INVESTIGATION COSTS FIN,100000,100000,100000
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9165,OUTSOURCING-DATA CENTER,131770,131770,120003
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,142,ACCOUNTING AND AUDITING,132500,132500,150000
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,51,UNEMPLY INSURANCE CLAIM,234348,234348,234348
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,56,PREM DENTAL PLAN,222842,222842,235653
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,138,PROF SERV-IT MAINT,237569,237569,240024
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9148,SENIOR CITIZEN SEWER,400000,400000,400000
LOCAL,314,SEWER FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,953,CLAIMS SEWER FUND,215000,215000,500000
