fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,VEHICLE TRACKING SERVICE,860906.00,860906.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,TELEPHONE - NON-CENTREX BILLINGS,109397.00,109397.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,TELEPHONE - CENTREX BILLINGS,1864730.00,1864730.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,DATA CIRCUITS,1010516.00,1010516.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,TELEPHONE - MAINTENANCE,200843.00,200843.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0340,MATERIAL AND SUPPLIES,10000.00,10000.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0348,BOOKS AND RELATED MATERIAL,5000.00,5000.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0350,STATIONERY AND OFFICE SUPPLIES,15000.00,15000.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0005,SALARIES AND WAGES - ON PAYROLL,11462481.00,11462481.00,9939828.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0015,SCHEDULE SALARY ADJUSTMENTS,1512.00,1512.00,206062.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0091,UNIFORM ALLOWANCE,0.00,0.00,10000.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0138,IT MAINTENANCE,0.00,0.00,5864901.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0140,PROFESSIONAL AND TECHNICAL SERVICES,0.00,0.00,777846.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0149,SOFTWARE MAINTENANCE AND LICENSING,0.00,0.00,15889227.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0162,REPAIR/MAINT EQUIPMENT,0.00,0.00,2956203.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0166,DUES  SUBSC & MEM,0.00,0.00,1001856.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0169,TECHNICAL MEETING COSTS,0.00,0.00,71700.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0181,MOBILE COMMUNICATION SERVICES,0.00,0.00,1755320.00
